Album,Artist,Genre,Name,Total Time,carpeta_esquema,filename,playlist,ruta_absoluta,Album Artist,Album Rating,Album Rating Computed,Artwork Count,BPM,Bit Rate,Comments,Compilation,Composer,Date Added,Date Modified,Disc Count,Disc Number,Disliked,Explicit,File Folder Count,Kind,Library Folder Count,Location,Matched,Normalization,Persistent ID,Play Count,Play Date,Play Date UTC,Purchased,Rating,Rating Computed,Release Date,Sample Rate,Size,Skip Count,Skip Date,Sort Album,Sort Album Artist,Sort Artist,Sort Name,Track Count,Track ID,Track Number,Track Type,Year
'good guy' - Single,Against The Current,Alternativa,'good guy',3:28,PRE_RAW,01 'good guy'.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,156,256,Se encuentra en spotify,,"Cassandra Ströberg, Chrissy Costanza, Dan Gow & Will Ferri",2024-09-26 20:47:08,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/'good%20guy'%20-%20Single/01%20'good%20guy'.mp3,,11210,9093C84040942D2C,8,3845109000,2025-11-04 19:50:00,,100,,,44100,7036804,,,,,,,1,4341,1,File,2023
blindfolded - Single,Against The Current,Rock,blindfolded,3:19,PRE_RAW,01 blindfolded.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,142,256,Se encuentra en spotify,,"Chrissy Costanza, Kristoffer Eriksson, Cassandra Ströberg, Dan Gow, Will Ferri & Salvatore Sam Guiana",2024-09-26 20:47:08,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/blindfolded%20-%20Single/01%20blindfolded.mp3,,14326,F24CFC7F5C967491,3,3843135042,2025-10-12 22:30:42,,100,,,44100,6484077,,,,,,,1,4347,1,File,2022
fever,Against The Current,Alternativa,that won't save us,3:21,PRE_RAW,01 that won't save us.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,78,256,Se encuentra en spotify,,"Chrissy Costanza, Will Ferri, Dan Gow & Matt Squire",2024-09-26 20:47:08,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/01%20that%20won't%20save%20us.mp3,,7592,967CDCD199FF2446,3,3845702407,2025-11-11 16:40:07,,100,,,44100,6556003,,,,,,,7,4349,1,File,2020
fever,Against The Current,Alternativa,jump,2:40,PRE_RAW,04 jump.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,85,256,Se encuentra en spotify,,Christina Costanza,2024-09-26 20:47:09,2025-10-17 06:58:02,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/04%20jump.mp3,,7236,5E2B17CE2B821D44,4,3842204560,2025-10-02 04:02:40,,100,,,44100,5256136,,,,,,,7,4353,4,File,2021
fever,Against The Current,Alternativa,lullaby,3:38,PRE_RAW,07 lullaby.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,108,256,Se encuentra en spotify,,"Christina Costanza, Jordan Fish & Oli Sykes",2024-09-26 20:47:09,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/fever/07%20lullaby.mp3,,5728,CCBD9CC5C989569E,4,3845706103,2025-11-11 17:41:43,,100,,,44100,7109368,,,,,,,7,4359,7,File,2021
Gravity - EP,Against The Current,Alternativa,Gravity,3:42,PRE_RAW,01 Gravity.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,,140,256,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:10,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/01%20Gravity.mp3,,6696,4326044C24EFF692,5,3843573555,2025-10-18 00:19:15,,100,,,44100,7118354,,,,,,,6,4373,1,File,2015
Gravity - EP,Against The Current,Alternativa,Paralyzed,3:16,PRE_RAW,04 Paralyzed.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,132,256,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:10,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/04%20Paralyzed.mp3,,10355,A7737DEA6B18D794,4,3845445753,2025-11-08 17:22:33,,100,,,44100,6317085,,,,,,,6,4377,4,File,2015
Gravity - EP,Against The Current,Alternativa,Fireproof,3:08,PRE_RAW,05 Fireproof.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,85,256,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:11,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/05%20Fireproof.mp3,,12680,70E4E7AC6F09E734,6,3847113951,2025-11-28 00:45:51,,100,,,44100,6061294,,,,,,,6,4379,5,File,2015
Gravity - EP,Against The Current,Alternativa,Brighter,3:34,PRE_RAW,06 Brighter.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,79,256,Se encuentra en spotify,,"Daniel Gow, Chrissy Costanza & Will Ferri",2024-09-26 20:47:11,2025-10-17 06:58:01,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/Gravity%20-%20EP/06%20Brighter.mp3,,6251,AF4A01C21F0413F1,4,3834155767,2025-07-01 00:16:07,,100,,,44100,6893032,,,,,,,6,4381,6,File,2015
In Our Bones,Against The Current,Alternativa,Running with the Wild Things,3:42,PRE_RAW,01 Running with the Wild Things.mp3,Against The Current,D:\Códigos\Musica-Analisis\files\xml\PRE_RAW\Against The Current.xml,Against The Current,100,True,1,160,256,Se encuentra en spotify,,Audra Mae,2024-09-26 20:47:11,2025-10-17 06:58:00,1,1,,,5,Archivo de audio MPEG,1,file://localhost/F:/iTunes/iTunes%20Media/Music/Against%20The%20Current/In%20Our%20Bones/01%20Running%20with%20the%20Wild%20Things.mp3,,13140,FC76FA08D4059720,2,3823261431,2025-02-24 23:03:51,,100,,,44100,7197644,,,,,,,12,4383,1,File,2016
